sna,total,可借數,sarea,可還空位數
輕軌崁頂站,18,10,淡水區,8
輕軌淡江大學站,40,7,淡水區,33
輕軌新市一路站,34,5,淡水區,29
四川忠孝路口,34,19,板橋區,15
陸光國宅,30,6,五股區,18
仁化文新路口,28,12,板橋區,16
中山新興街口,34,14,樹林區,20
信義公園市民活動中心,34,15,板橋區,19
文中小停車場,40,26,三重區,13
安康高中,70,2,新店區,68
中正路284巷,28,8,新店區,19
御史路1巷,24,10,五股區,14
新市二路二段,30,23,淡水區,7
光明街,20,5,新店區,15
環河西路三段(日安社區),24,9,中和區,14
民生中山路口,22,12,板橋區,10
重慶國小,14,7,板橋區,7
板橋真武廟,34,10,板橋區,24
鶯歌國民運動中心,36,11,鶯歌區,25
南雅公園,40,25,板橋區,15
中正民權路口,70,17,新店區,53
捷運新埔站(1號出口),94,0,板橋區,94
中原東街(左岸牡丹園),38,12,中和區,25
土城仁愛社區公園,34,14,土城區,20
五峰國中,22,14,新店區,8
大崁國小,36,11,八里區,25
東海高中,40,0,三重區,40
中山1號科技總部,36,3,土城區,32
中平國中,40,8,新莊區,31
仁愛街70巷口,24,11,蘆洲區,13
中印青潭廠,18,7,新店區,11
淡江大學(水源街),42,2,淡水區,39
健華新城社區,52,3,板橋區,49
美麗新淡海影城,44,7,淡水區,35
寶橋路235巷口,30,4,新店區,25
安康立體停車場,32,8,新店區,24
全球傳動科技公司,38,2,樹林區,35
興南路二段34巷口,24,3,中和區,21
復興民生街口,30,11,三峽區,18
環河西大漢街口,40,27,板橋區,13
十三行博物館,36,23,八里區,13
莒光國小,30,12,板橋區,18
林口郵局,38,8,林口區,30
竹林山觀音寺,34,18,林口區,16
青潭河濱公園,22,3,新店區,18
捷運中和站,28,5,中和區,23
公23公園,22,10,淡水區,11
捷運秀朗橋站,34,0,中和區,25
板橋中山公園,22,10,板橋區,11
民有公園,40,14,中和區,26
仁愛街112巷,32,8,三重區,24
華新街109巷11弄,50,12,中和區,38
康寧街307巷,28,17,汐止區,11
中興橋(環河南路254巷口),40,14,三重區,26
新林國小,40,18,林口區,22
滬尾藝文休閒園區,26,1,淡水區,25
康福公園,20,12,汐止區,6
新市二路四段,28,17,淡水區,11
義山新市一路口,30,19,淡水區,11
中信國小,40,20,新莊區,20
捷運板新站,82,23,板橋區,59
三抱竹,26,6,板橋區,19
慈愛公園,18,6,三重區,12
汐止火車站停車場,88,22,汐止區,64
頂埔市場,28,8,土城區,19
樹林藝文綜合行政大樓,60,10,樹林區,50
光華橋(保平路),36,15,中和區,21
台北花園廣場社區,30,12,泰山區,10
民權社區活動中心,22,3,永和區,19
捷運新埔站(5號出口),56,0,板橋區,56
捷運橋和站,62,22,中和區,37
國中二甲路口,24,14,鶯歌區,9
陽光Park社區,32,10,新店區,22
捷運十四張站,80,10,新店區,68
芳洲八路,28,14,五股區,14
後竹圍市民活動中心,32,15,三重區,17
林口國民運動中心,40,19,林口區,19
中央路一段292巷口,48,37,土城區,10
深坑松柏街,34,6,深坑區,22
金美國小,28,11,金山區,17
金山八德街,30,6,金山區,21
寶橋路78巷口,44,17,新店區,21
鳳福公園,40,24,鶯歌區,15
林口新創園,32,16,林口區,13
漳和國中,50,0,中和區,48
遠東動力企業總部,30,12,新莊區,17
清水社區公園,54,36,土城區,17
國立師範大學林口校區(測試站),16,14,林口區,2
斬龍山遺址文化公園,50,11,土城區,39
長安橋(吉祥街12巷),54,15,汐止區,35
三重商工(後竹圍街),36,10,三重區,26
香社一藝文街口(歡喜市社區),40,24,板橋區,10
浮洲合宜住宅(合宜合安一路口),50,30,板橋區,20
中正福海街口,44,26,新莊區,18
德光莒光路口,38,10,中和區,27
