,有提到的單字,次數
592,酸民,1
593,嗆,1
594,只有,1
595,他家,1
596,死人,1
597,嗎,1
598,恩恩爸,1
599,火大,1
600,開告,1
601,臉書貼,1
602,報案,1
603,單,1
604,麥當,1
605,勞改,1
606,內用,1
607,杯,1
608,嫌,1
609,噁,1
610,實例,1
611,打臉,1
612,有什麼,1
613,好,1
614,反,1
615,對,2
616,柔道,1
617,東京大滿,1
618,貫賽,1
619,楊勇緯,1
620,中斷,1
621,近,1
622,6,4
623,站,1
624,奪牌,1
625,紀錄,1
626,林真豪,1
627,闖銅牌,1
628,戰,1
629,顆鮭,1
630,魚壽司,1
631,賣,1
632,400,1
633,元,1
634,夏威夷,1
635,台商,1
636,嘆,2
637,美國,1
638,通膨比,1
639,疫情,1
640,影響,1
641,更,2
642,大,2
643,原來,1
644,有人,1
645,不,3
646,一樣,1
647,羅,1
648,慧夫,1
649,基金,1
650,會繪本,1
651,比賽,1
652,啟發,1
653,孩童,1
654,尊重,1
655,差異,1
656,毛,1
657,有福,1
658,嘉義市,1
659,首座,1
660,寵物,1
661,公園,1
662,開工,2
663,樂天,1
664,隊,1
665,倪暄,1
666,捲,1
667,劈,1
668,腿,1
669,風波,1
670,新聞,1
671,才,1
672,知道,1
673,很震,1
674,驚,1
675,南韓,1
676,可望,1
677,淘汰,1
678,巴西,1
679,鮮肉,1
680,球星,1
681,脫衣,1
682,士氣,1
683,飆,1
684,名球評,1
685,曝殘酷,1
686,真相,1
687,旗,2
688,開球,1
689,初體驗,1
690,呂彥,1
691,青,1
692,比後援,1
693,登板,1
694,還緊,1
695,張,1
696,曾聖光,1
697,戰死,1
698,烏克蘭,1
699,今舉行,1
700,公祭,1
701,原民會,1
702,追贈,1
703,一等,1
704,專業,1
705,獎章,1
706,洛杉磯,1
707,房價,1
708,飆漲,1
709,年收,1
710,713,1
711,萬才,1
712,得,2
713,起,1
714,一間,1
715,每月,1
716,房貸,1
717,增,1
718,70%,1
719,藍副議,1
720,葉林傳,1
721,被控,1
722,具,1
723,黑道,1
724,背景,1
725,朱立倫,1
726,民進,2
727,黨,2
728,烏賊,1
729,戰別,1
730,打得,1
731,太離,1
732,譜,1
733,00878,1
734,00692,1
735,怎麼,1
736,選,3
737,分析,1
738,4,2
739,面向,1
740,想要,1
741,爽領,1
742,股息,1
743,它,1
744,逛,1
745,情趣用品,1
746,店,1
747,男友,2
748,挑,1
749,玩具,1
750,跟,1
751,店員聊,1
752,床事,1
753,…,3
754,她,5
755,尷尬,1
756,離場,1
757,為,1
758,減重,1
759,一天,1
760,狂灌,1
761,5,2
762,千,1
763,cc,1
764,水,1
765,下場慘,1
766,醫,1
767,類人要,1
768,限水,1
769,過量,1
770,恐,1
771,死亡,1
772,陳,1
773,紫,1
774,渝,1
775,合體,1
776,猛男,1
777,吸,1
778,1.3,1
779,萬人,1
780,粉絲,1
781,敲,1
782,碗,1
783,買里長,1
784,版,1
785,的,2
786,50,1
787,鄭秀文,1
788,穿,1
789,男裝,1
790,真空,1
791,曬美,1
792,胸辣,1
793,又帥,1
794,性感,1
795,根本,1
796,衣架子,1
797,兄弟,1
798,闖三峽,1
799,行竊,1
